Edad;Absoluto;Categoría;Hombres;Mujeres;Mujeres-Hombres
0;9632;Más hombres;169800;160168;-9632
1;10889;Más hombres;178921;168032;-10889
2;8242;Más hombres;178154;169912;-8242
3;10320;Más hombres;190572;180252;-10320
4;10285;Más hombres;200440;190155;-10285
5;12529;Más hombres;214698;202169;-12529
6;12387;Más hombres;225565;213178;-12387
7;12637;Más hombres;231943;219306;-12637
8;14232;Más hombres;236850;222618;-14232
9;13310;Más hombres;234395;221085;-13310
10;14865;Más hombres;248245;233380;-14865
11;15010;Más hombres;254156;239146;-15010
12;14593;Más hombres;259729;245136;-14593
13;16268;Más hombres;264723;248455;-16268
14;16482;Más hombres;276257;259775;-16482
15;15440;Más hombres;266390;250950;-15440
16;15565;Más hombres;265790;250225;-15565
17;15478;Más hombres;261546;246068;-15478
18;18119;Más hombres;264715;246596;-18119
19;15466;Más hombres;262996;247530;-15466
20;17205;Más hombres;258128;240923;-17205
21;15738;Más hombres;258220;242482;-15738
22;16632;Más hombres;262775;246143;-16632
23;12375;Más hombres;256872;244497;-12375
24;13268;Más hombres;253109;239841;-13268
25;10211;Más hombres;257588;247377;-10211
26;8745;Más hombres;256337;247592;-8745
27;9349;Más hombres;259688;250339;-9349
28;8129;Más hombres;263513;255384;-8129
29;7634;Más hombres;271644;264010;-7634
30;6340;Más hombres;278630;272290;-6340
31;6801;Más hombres;278189;271388;-6801
32;4360;Más hombres;280693;276333;-4360
33;2251;Más hombres;284117;281866;-2251
34;941;Más hombres;288457;287516;-941
35;-59;Más mujeres;291210;291269;59
36;-3041;Más mujeres;296284;299325;3041
37;-2405;Más mujeres;306067;308472;2405
38;-2637;Más mujeres;316872;319509;2637
39;-1750;Más mujeres;327420;329170;1750
40;-665;Más mujeres;345547;346212;665
41;1533;Más hombres;360609;359076;-1533
42;3058;Más hombres;377916;374858;-3058
43;3057;Más hombres;387343;384286;-3057
44;6016;Más hombres;404745;398729;-6016
45;9029;Más hombres;410843;401814;-9029
46;7257;Más hombres;416290;409033;-7257
47;9182;Más hombres;413579;404397;-9182
48;6577;Más hombres;408632;402055;-6577
49;6453;Más hombres;397587;391134;-6453
50;4630;Más hombres;394484;389854;-4630
51;2827;Más hombres;386474;383647;-2827
52;1143;Más hombres;379656;378513;-1143
53;-1749;Más mujeres;373092;374841;1749
54;-4375;Más mujeres;367586;371961;4375
55;-7389;Más mujeres;367472;374861;7389
56;-7764;Más mujeres;357123;364887;7764
57;-11378;Más mujeres;351388;362766;11378
58;-13319;Más mujeres;353900;367219;13319
59;-13560;Más mujeres;334961;348521;13560
60;-16100;Más mujeres;321031;337131;16100
61;-17727;Más mujeres;311291;329018;17727
62;-19774;Más mujeres;309848;329622;19774
63;-20138;Más mujeres;299397;319535;20138
64;-22139;Más mujeres;289561;311700;22139
65;-24471;Más mujeres;279455;303926;24471
66;-24834;Más mujeres;257702;282536;24834
67;-26051;Más mujeres;248033;274084;26051
68;-28301;Más mujeres;233187;261488;28301
69;-27718;Más mujeres;231761;259479;27718
70;-28096;Más mujeres;228126;256222;28096
71;-30192;Más mujeres;209968;240160;30192
72;-31905;Más mujeres;200932;232837;31905
73;-37203;Más mujeres;203858;241061;37203
74;-40949;Más mujeres;208573;249522;40949
75;-39521;Más mujeres;186291;225812;39521
76;-41708;Más mujeres;172605;214313;41708
77;-45976;Más mujeres;174492;220468;45976
78;-45632;Más mujeres;160712;206344;45632
79;-47339;Más mujeres;152318;199657;47339
80;-41830;Más mujeres;126192;168022;41830
81;-40565;Más mujeres;111003;151568;40565
82;-53972;Más mujeres;127248;181220;53972
83;-39556;Más mujeres;77384;116940;39556
84;-45016;Más mujeres;82092;127108;45016
85;-51377;Más mujeres;84542;135919;51377
86;-58014;Más mujeres;82899;140913;58014
87;-53851;Más mujeres;73122;126973;53851
88;-52572;Más mujeres;63440;116012;52572
89;-51284;Más mujeres;55346;106630;51284
90;-47387;Más mujeres;46798;94185;47387
91;-40385;Más mujeres;36660;77045;40385
92;-37606;Más mujeres;28923;66529;37606
93;-30691;Más mujeres;21315;52006;30691
94;-25702;Más mujeres;16128;41830;25702
95;-19801;Más mujeres;10961;30762;19801
96;-15762;Más mujeres;7785;23547;15762
97;-11620;Más mujeres;5186;16806;11620
98;-8433;Más mujeres;3554;11987;8433
99;-5872;Más mujeres;2371;8243;5872
100;-9504;Más mujeres;2578;12082;9504
